2025-10-26T21:34:52.000000000Z [inf]  Starting Container
2025-10-26T21:34:53.124487107Z [inf]  🔄 Running database migrations...
2025-10-26T21:34:53.124497036Z [err]  Unrecognized options for command 'push': --yes
2025-10-26T21:34:53.132944997Z [inf]  ⚠️  Migration warning (continuing anyway)
2025-10-26T21:34:53.132955086Z [inf]  🚀 Starting application...
2025-10-26T21:34:54.204764266Z [inf]  [db] ✅ Added sslmode=no-verify to connection string for production
2025-10-26T21:34:54.204776731Z [inf]  [db] Environment: NODE_ENV=production, PORT=8080
2025-10-26T21:34:54.204782966Z [inf]  [db] Using DATABASE_URL: postgresql://***@postgres.railway.internal:5432/railway
2025-10-26T21:34:54.204789106Z [inf]  [db] Pool config: connectionTimeoutMillis=5000, ssl=enabled (rejectUnauthorized: false)
2025-10-26T21:34:54.204795040Z [inf]  [db] SSL Configuration: {"rejectUnauthorized":false}
2025-10-26T21:34:54.204801223Z [inf]  [db] Connection string includes SSL params: true
2025-10-26T21:34:54.206074637Z [inf]  [PERFORMANCE] System prompt base cached (21338 chars) - saves ~4KB per request
2025-10-26T21:34:54.213106984Z [inf]  [PLATFORM-HEALING] PROJECT_ROOT: /app
2025-10-26T21:34:54.213111511Z [inf]  [PERFORMANCE] Compression middleware enabled - responses will be 70-80% smaller
2025-10-26T21:34:54.220532508Z [inf]  📡 WebSocket server initialized at /ws
2025-10-26T21:34:54.220540780Z [inf]  [PLATFORM-HEALING] Session manager connected to WebSocket
2025-10-26T21:34:54.220546710Z [inf]  [PLATFORM-METRICS] Starting WebSocket broadcaster (5s intervals)
2025-10-26T21:34:54.227972242Z [inf]  ✅ All routes registered successfully
2025-10-26T21:34:54.227980308Z [inf]  🔍 Testing database connection...
2025-10-26T21:34:54.280735193Z [inf]  9:34:54 PM [express] serving on port 8080
2025-10-26T21:34:54.280748329Z [inf]  🌐 Server accessible at http://0.0.0.0:8080
2025-10-26T21:34:54.382766499Z [err]  ⚠️ Retry attempt 1/5 failed: {
2025-10-26T21:34:54.382773676Z [err]    code: '42P01',
2025-10-26T21:34:54.382778635Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:34:54.382800845Z [err]    nextRetryIn: '1000ms'
2025-10-26T21:34:54.382807132Z [err]  }
2025-10-26T21:34:55.400125440Z [err]  ⚠️ Retry attempt 2/5 failed: {
2025-10-26T21:34:55.400130304Z [err]    code: '42P01',
2025-10-26T21:34:55.400134880Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:34:55.400140958Z [err]    nextRetryIn: '2000ms'
2025-10-26T21:34:55.400146307Z [err]  }
2025-10-26T21:34:57.485126964Z [err]  ⚠️ Retry attempt 3/5 failed: {
2025-10-26T21:34:57.485133448Z [err]    code: '42P01',
2025-10-26T21:34:57.485138103Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:34:57.485142071Z [err]    nextRetryIn: '4000ms'
2025-10-26T21:34:57.485146332Z [err]  }
2025-10-26T21:34:59.257668897Z [err]  [MESSAGE-QUEUE] Processing error: error: relation "message_queue" does not exist
2025-10-26T21:34:59.257675089Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-10-26T21:34:59.257681180Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-10-26T21:34:59.257687539Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-10-26T21:34:59.257693705Z [err]      at async MessageQueueService.dequeue (file:///app/dist/index.js:2528:26)
2025-10-26T21:34:59.257699974Z [err]      at async MessageQueueService.processNext (file:///app/dist/index.js:2596:27)
2025-10-26T21:34:59.257705789Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:2586:13) {
2025-10-26T21:34:59.257712090Z [err]    length: 113,
2025-10-26T21:34:59.257719240Z [err]    severity: 'ERROR',
2025-10-26T21:34:59.257725440Z [err]    code: '42P01',
2025-10-26T21:34:59.257731651Z [err]    detail: undefined,
2025-10-26T21:34:59.257739226Z [err]    hint: undefined,
2025-10-26T21:34:59.257745292Z [err]    position: '131',
2025-10-26T21:34:59.257752138Z [err]    internalPosition: undefined,
2025-10-26T21:34:59.257758704Z [err]    internalQuery: undefined,
2025-10-26T21:34:59.257764924Z [err]    where: undefined,
2025-10-26T21:34:59.257771112Z [err]    schema: undefined,
2025-10-26T21:34:59.257778145Z [err]    table: undefined,
2025-10-26T21:34:59.257784100Z [err]    column: undefined,
2025-10-26T21:34:59.257790306Z [err]    dataType: undefined,
2025-10-26T21:34:59.257796234Z [err]    constraint: undefined,
2025-10-26T21:34:59.257803410Z [err]    file: 'parse_relation.c',
2025-10-26T21:34:59.257809333Z [err]    line: '1449',
2025-10-26T21:34:59.257814943Z [err]    routine: 'parserOpenTable'
2025-10-26T21:34:59.257838237Z [err]  }
2025-10-26T21:35:01.549196742Z [err]  ⚠️ Retry attempt 4/5 failed: {
2025-10-26T21:35:01.549204212Z [err]    code: '42P01',
2025-10-26T21:35:01.549208650Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:35:01.549212544Z [err]    nextRetryIn: '8000ms'
2025-10-26T21:35:01.549216589Z [err]  }
2025-10-26T21:35:04.311806091Z [err]    dataType: undefined,
2025-10-26T21:35:04.311816964Z [err]    constraint: undefined,
2025-10-26T21:35:04.311825179Z [err]    file: 'parse_relation.c',
2025-10-26T21:35:04.311832503Z [err]    line: '1449',
2025-10-26T21:35:04.311838919Z [err]    routine: 'parserOpenTable'
2025-10-26T21:35:04.311844262Z [err]  }
2025-10-26T21:35:04.311849883Z [err]    hint: undefined,
2025-10-26T21:35:04.311855802Z [err]    position: '131',
2025-10-26T21:35:04.311860667Z [err]    internalPosition: undefined,
2025-10-26T21:35:04.311865280Z [err]    internalQuery: undefined,
2025-10-26T21:35:04.311869954Z [err]    where: undefined,
